	Gene ID	source_id	Input Order	Input ID	Product Description	Gene Name or Symbol	Apollo Product Description	PFam ID	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Process IDs	Computed GO Functions	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Functions	Curated GO Function IDs	Curated GO Process IDs	Curated GO Processes	UniProt ID(s)
222	PF3D7_1209200	PF3D7_1209200.1	279	PF3D7_1209200	U6 snRNA-associated Sm-like protein LSm7, putative	LSM7	None	PF01423			GO:0003723	GO:0000398;GO:0000956	RNA binding	mRNA splicing, via spliceosome;nuclear-transcribed mRNA catabolic process	GO:1990726;GO:0005689;GO:0071004;GO:0005688;GO:0071013;GO:0005634;GO:1990904;GO:0005732;GO:0005681;GO:0097526	Lsm1-7-Pat1 complex;U12-type spliceosomal complex;U2-type prespliceosome;U6 snRNP;catalytic step 2 spliceosome;nucleus;ribonucleoprotein complex;sno(s)RNA-containing ribonucleoprotein complex;spliceosomal complex;spliceosomal tri-snRNP complex			GO:0000375;GO:0000398	RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome	Q8I5V6
223	PF3D7_1212200	PF3D7_1212200.1	104	PF3D7_1212200	conserved protein, unknown function		None														Q8I5T0
224	PF3D7_1216000	PF3D7_1216000.1	280	PF3D7_1216000	serine--tRNA ligase, putative		None	PF00587			GO:0005524;GO:0004812;GO:0000166;GO:0004828	GO:0097056;GO:0006434;GO:0006418	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity	selenocysteinyl-tRNA(Sec) biosynthetic process;seryl-tRNA aminoacylation;tRNA aminoacylation for protein translation	GO:0020011;GO:0005829;GO:0016020;GO:0005739	apicoplast;cytosol;membrane;mitochondrion	serine-tRNA ligase activity	GO:0004828	GO:0006434	seryl-tRNA aminoacylation	A0A143ZZQ0,A0A5J6C745,A0A5J6C7C8,A0A5J6C7K3,A0A5J6C856,A0A5J6C8P1,A0A5J6C8Q4,A0A5J6C949,A0A5J6C9Z3,Q8I5P7
225	PF3D7_1217200	PF3D7_1217200.1	105	PF3D7_1217200	multiple RNA-binding domain-containing protein 1, putative	MRD1	None	PF00076			GO:0003676		nucleic acid binding		GO:0030686;GO:0016607;GO:0005634	90S preribosome;nuclear speck;nucleus	RNA binding	GO:0003723	GO:0045292;GO:0000381;GO:0034462	mRNA cis splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome;small-subunit processome assembly	A0A144A1F1
226	PF3D7_1217300	PF3D7_1217300.1	281	PF3D7_1217300	GTP-binding protein EngA	EngA	None	PF01926;PF14714	GO:0016021	integral component of membrane	GO:0005525	GO:0042254	GTP binding	ribosome biogenesis	GO:0020036;GO:0020011;GO:0005739	Maurer's cleft;apicoplast;mitochondrion	GTP binding;GTPase activity;ribosome binding	GO:0005525;GO:0003924;GO:0043022			A0A144A297
227	PF3D7_1221700	PF3D7_1221700.1	106	PF3D7_1221700	FbpA domain protein, putative		None	PF05670							GO:1990112;GO:0020011	RQC complex;apicoplast	ribosomal large subunit binding;tRNA binding	GO:0043023;GO:0000049	GO:0072344;GO:1990116	rescue of stalled ribosome;ribosome-associated ubiquitin-dependent protein catabolic process	Q8I5J6
228	PF3D7_1222000	PF3D7_1222000.1	282	PF3D7_1222000	tRNA-splicing ligase RtcB, putative		None	PF01139			GO:0005525;GO:0008452	GO:0006396;GO:0008033	GTP binding;RNA ligase activity	RNA processing;tRNA processing			DNA ligase activity;RNA ligase activity;manganese ion binding	GO:0003909;GO:0008452;GO:0030145	GO:0006281;GO:0042245	DNA repair;RNA repair	Q8I5J3
229	PF3D7_1224300	PF3D7_1224300.1	107	PF3D7_1224300	polyadenylate-binding protein 1, putative	PABP1	None	PF00076;PF00658			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0043186;GO:0009986;GO:0005737;GO:0005829;GO:0034399;GO:0005634;GO:1990904	P granule;cell surface;cytoplasm;cytosol;nuclear periphery;nucleus;ribonucleoprotein complex	RNA binding;mRNA 3'-UTR binding;mRNA binding;poly(A) binding;poly(U) RNA binding	GO:0003723;GO:0003730;GO:0003729;GO:0008143;GO:0008266	GO:0006396	RNA processing	A1EAA0,Q8I5H4
230	PF3D7_1224900	PF3D7_1224900.1	283	PF3D7_1224900	splicing factor 3B subunit 6, putative	SF3B6	None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005689;GO:0005686;GO:0005684;GO:0071013;GO:0071011	U12-type spliceosomal complex;U2 snRNP;U2-type spliceosomal complex;catalytic step 2 spliceosome;precatalytic spliceosome			GO:0000398	mRNA splicing, via spliceosome	Q8I5G8
231	PF3D7_1225300	PF3D7_1225300.1	284	PF3D7_1225300	rRNA-processing protein FCF1, putative		None	PF04900	GO:0032040	small-subunit processome					GO:0005730;GO:0032040	nucleolus;small-subunit processome	small ribosomal subunit rRNA binding	GO:0070181			Q8I5G4
232	PF3D7_1225400	PF3D7_1225400.1	108	PF3D7_1225400	rRNA-processing protein, putative		None	PF08524							GO:0020036	Maurer's cleft					Q8I5G3
233	PF3D7_1225500	PF3D7_1225500.1	109	PF3D7_1225500	small subunit rRNA processing factor, putative		None	PF03587			GO:0008168		methyltransferase activity		GO:0005730;GO:0032040	nucleolus;small-subunit processome	rRNA (pseudouridine) methyltransferase activity;rRNA binding	GO:0070037;GO:0019843	GO:0070475	rRNA base methylation	Q8I5G2
234	PF3D7_1226000	PF3D7_1226000.1	110	PF3D7_1226000	conserved protein, unknown function		None														Q8I5F7
235	PF3D7_1226500	PF3D7_1226500.1	111	PF3D7_1226500	heptatricopeptide repeat and RAP domain-containing protein, putative		None	PF08373													Q8I5F2
236	PF3D7_1228500	PF3D7_1228500.1	285	PF3D7_1228500	RNA pseudouridylate synthase, putative		None	PF01479			GO:0003723;GO:0009982;GO:0106029	GO:0009451;GO:0001522	RNA binding;pseudouridine synthase activity;tRNA pseudouridine synthase activity	RNA modification;pseudouridine synthesis							Q8I5D3
237	PF3D7_1231500	PF3D7_1231500.1	286	PF3D7_1231500	mitosis protein dim1, putative		None	PF02966	GO:0046540	U4/U6 x U5 tri-snRNP complex	GO:0052909	GO:0000398	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity	mRNA splicing, via spliceosome	GO:0046540;GO:0005682;GO:0005681	U4/U6 x U5 tri-snRNP complex;U5 snRNP;spliceosomal complex			GO:0000375;GO:0000245	RNA splicing, via transesterification reactions;spliceosomal complex assembly	Q8I5A5
238	PF3D7_1232400	PF3D7_1232400.1	287	PF3D7_1232400	CWC16 domain-containing protein, putative		None	PF04502							GO:0005684;GO:0071014	U2-type spliceosomal complex;post-mRNA release spliceosomal complex			GO:0008380	RNA splicing	Q8I598
239	PF3D7_1232900	PF3D7_1232900.1	112	PF3D7_1232900	nucleotidyltransferase, putative		None	PF19088							GO:0005737;GO:0005634	cytoplasm;nucleus	nucleotidyltransferase activity	GO:0016779	GO:0006397	mRNA processing	A0A144A2R0
240	PF3D7_1233300	PF3D7_1233300.1	288	PF3D7_1233300	pentatricopeptide repeat domain-containing protein 2, putative	PPR2	None	PF13041			GO:0005515		protein binding		GO:0005737;GO:0005739	cytoplasm;mitochondrion					A0A144A108,Q8I589
241	PF3D7_1235300	PF3D7_1235300.1	289	PF3D7_1235300	CCR4-NOT transcription complex subunit 4, putative	NOT4	None	PF14570	GO:0030014	CCR4-NOT complex	GO:0003723;GO:0003676;GO:0004842		RNA binding;nucleic acid binding;ubiquitin-protein transferase activity		GO:0030014;GO:0005634	CCR4-NOT complex;nucleus	mRNA binding;ubiquitin-protein transferase activity	GO:0003729;GO:0004842	GO:0016567	protein ubiquitination	Q8I569
242	PF3D7_1235400	PF3D7_1235400.1	113	PF3D7_1235400	tetQ family GTPase, putative		None	PF00009;PF00679;PF14492			GO:0005525;GO:0003924		GTP binding;GTPase activity		GO:0005739	mitochondrion	GTPase activity	GO:0003924	GO:0032543;GO:0032790;GO:0006414	mitochondrial translation;ribosome disassembly;translational elongation	C5J098,C5J0A4,C5J0A9,C5J0B0,C5J0C6,C5J0D2,C5J0D3,C5J0E5,C5J0F3,C5J0F5,Q8I568
243	PF3D7_1235500	PF3D7_1235500.1	290	PF3D7_1235500	N6-adenosine-methyltransferase, putative	MT-A70.2	None	PF05063			GO:0016422;GO:0008168;GO:0003676	GO:0032259	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity;methyltransferase activity;nucleic acid binding	methylation	GO:0036396;GO:0005634	RNA N6-methyladenosine methyltransferase complex;nucleus	mRNA binding;protein binding	GO:0003729;GO:0005515	GO:0080009	mRNA methylation	Q8I567
244	PF3D7_1236100	PF3D7_1236100.1	291	PF3D7_1236100	clustered-asparagine-rich protein	CARP	None	PF00076;PF00397			GO:0003676;GO:0005515		nucleic acid binding;protein binding		GO:0005737;GO:0005634;GO:1990904	cytoplasm;nucleus;ribonucleoprotein complex	RNA binding;mRNA binding	GO:0003723;GO:0003729			P13824,Q8I562
245	PF3D7_1241300	PF3D7_1241300.1	292	PF3D7_1241300	ribosome-binding factor A, putative		None	PF02033				GO:0006364		rRNA processing							Q8I516
246	PF3D7_1241400	PF3D7_1241400.1	114	PF3D7_1241400	female development protein FD1, putative		None				GO:0003723;GO:0003676		RNA binding;nucleic acid binding								Q8I515
247	PF3D7_1241800	PF3D7_1241800.1	293	PF3D7_1241800	ATP-dependent RNA helicase DBP9, putative	DBP9	None	PF00270;PF00271			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0043186;GO:0005634	P granule;nucleus	RNA binding;RNA helicase activity	GO:0003723;GO:0003724	GO:0016070	RNA metabolic process	Q8I511
248	PF3D7_1243600	PF3D7_1243600.1	115	PF3D7_1243600	translation initiation factor SUI1, putative		None	PF01253			GO:0003743	GO:0006413	translation initiation factor activity	translational initiation	GO:0005634	nucleus	RNA binding;translation initiation factor activity	GO:0003723;GO:0003743	GO:0006413	translational initiation	Q8I4Z4
249	PF3D7_1244000	PF3D7_1244000.1	116	PF3D7_1244000	glucose inhibited division protein a homologue, putative		None	PF01134;PF13932			GO:0050660	GO:0008033	flavin adenine dinucleotide binding	tRNA processing	GO:0020011;GO:0005739	apicoplast;mitochondrion	flavin adenine dinucleotide binding	GO:0050660	GO:0070899;GO:0030488;GO:0002098	mitochondrial tRNA wobble uridine modification;tRNA methylation;tRNA wobble uridine modification	Q8I4Z0
250	PF3D7_1244400	PF3D7_1244400.1	294	PF3D7_1244400	RNA-binding protein, putative		None				GO:0003676		nucleic acid binding		GO:0020011;GO:1990904	apicoplast;ribonucleoprotein complex					Q8I4Y7
251	PF3D7_1246500	PF3D7_1246500.1	117	PF3D7_1246500	methyltransferase, putative		None	PF02475;PF17785			GO:0003723;GO:0008168;GO:0102522	GO:0032259	RNA binding;methyltransferase activity;tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity	methylation	GO:0005739	mitochondrion					Q8I4W7
252	PF3D7_1246600	PF3D7_1246600.1	118	PF3D7_1246600	pre-mRNA-splicing factor CWC26, putative	BUD13	None	PF09736							GO:0070274;GO:0005684;GO:0005634	RES complex;U2-type spliceosomal complex;nucleus			GO:0000398	mRNA splicing, via spliceosome	Q8I4W6
253	PF3D7_1249800	PF3D7_1249800.1	295	PF3D7_1249800	THO complex subunit 2, putative	THO2	None	PF11262	GO:0000347;GO:0016021	THO complex;integral component of membrane		GO:0006406;GO:0006397		mRNA export from nucleus;mRNA processing	GO:0000445;GO:0005634	THO complex part of transcription export complex;nucleus	mRNA binding	GO:0003729	GO:0006406	mRNA export from nucleus	Q8I4T6
254	PF3D7_1250000	PF3D7_1250000.1	296	PF3D7_1250000	rRNA-processing protein FCF2, putative	FCF2	None	PF08698							GO:0005634	nucleus					Q8I4T4
255	PF3D7_1306900	PF3D7_1306900.1	297	PF3D7_1306900	U1 small nuclear ribonucleoprotein A, putative	SNRPA	None	PF00076			GO:0003676		nucleic acid binding		GO:0005685;GO:0005634;GO:0005681	U1 snRNP;nucleus;spliceosomal complex	U1 snRNA binding	GO:0030619	GO:0000398	mRNA splicing, via spliceosome	C0H5A4
256	PF3D7_1307300	PF3D7_1307300.1	119	PF3D7_1307300	ATP-dependent RNA helicase DBP6, putative	DBP6	None	PF00270;PF00271			GO:0005524;GO:0003676		ATP binding;nucleic acid binding		GO:0005739;GO:0030687	mitochondrion;preribosome, large subunit precursor	RNA helicase activity	GO:0003724			A5A159,Q8IEP2
257	PF3D7_1307600	PF3D7_1307600.1	120	PF3D7_1307600	DNA-directed RNA polymerase subunit alpha, putative	rpoA	None	PF01000			GO:0003899;GO:0046983	GO:0006351	DNA-directed 5'-3' RNA polymerase activity;protein dimerization activity	transcription, DNA-templated	GO:0020011;GO:0005737	apicoplast;cytoplasm	DNA-directed 5'-3' RNA polymerase activity	GO:0003899			Q8IEN9
258	PF3D7_1307800	PF3D7_1307800.1	121	PF3D7_1307800	centrosomal protein CEP170, putative	CEP170	None	PF00498			GO:0005515		protein binding		GO:0005634	nucleus	mRNA binding	GO:0003729			Q8IEN7
259	PF3D7_1308300	PF3D7_1308300.1	122	PF3D7_1308300	40S ribosomal protein S27	RPS27	None	PF01667	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022627;GO:0005634	cytosolic small ribosomal subunit;nucleus	RNA binding;structural constituent of ribosome	GO:0003723;GO:0003735	GO:0000028;GO:0006412	ribosomal small subunit assembly;translation	Q8IEN2
260	PF3D7_1309300	PF3D7_1309300.1	298	PF3D7_1309300	U4/U6 small nuclear ribonucleoprotein PRP3, putative	PRPF3	None	PF06544;PF08572	GO:0046540	U4/U6 x U5 tri-snRNP complex		GO:0000398		mRNA splicing, via spliceosome	GO:0046540	U4/U6 x U5 tri-snRNP complex			GO:0000398	mRNA splicing, via spliceosome	Q8IEM1
261	PF3D7_1312400	PF3D7_1312400.1	123	PF3D7_1312400	translation initiation factor IF-2, putative	IF2a	None	PF00009;PF11987			GO:0005525;GO:0003924		GTP binding;GTPase activity		GO:0005739	mitochondrion	GTP binding;GTPase activity;translation initiation factor activity	GO:0005525;GO:0003924;GO:0003743	GO:0006413	translational initiation	Q8IEJ7
262	PF3D7_1312900	PF3D7_1312900.1	299	PF3D7_1312900	eukaryotic translation initation factor 4 gamma	EIF4G	None				GO:0003723;GO:0005515		RNA binding;protein binding		GO:0005634	nucleus	protein binding	GO:0005515			A2ICF4,A2ICF5,A3FJ63,C0H5B1,P04931
263	PF3D7_1313400	PF3D7_1313400.1	124	PF3D7_1313400	DEAD box helicase, putative		None	PF00270;PF00271	GO:0016021	integral component of membrane	GO:0005524;GO:0003676		ATP binding;nucleic acid binding		GO:0020011;GO:0010494;GO:0005634	apicoplast;cytoplasmic stress granule;nucleus	RNA binding;RNA helicase activity;helicase activity	GO:0003723;GO:0003724;GO:0004386	GO:0016973	poly(A)+ mRNA export from nucleus	Q8IEH9
264	PF3D7_1314000	PF3D7_1314000.1	300	PF3D7_1314000	conserved protein, unknown function		None		GO:0016021	integral component of membrane					GO:0005739	mitochondrion					Q8IEH4
265	PF3D7_1315400	PF3D7_1315400.1	125	PF3D7_1315400	zinc finger (CCCH type) protein, putative		None				GO:0046872;GO:0005515		metal ion binding;protein binding		GO:0005634	nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729			A0A5K1K8E3
266	PF3D7_1315700	PF3D7_1315700.1	126	PF3D7_1315700	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, putative	GCD14	None	PF08704	GO:0031515	tRNA (m1A) methyltransferase complex	GO:0016429	GO:0030488	tRNA (adenine-N1-)-methyltransferase activity	tRNA methylation	GO:0005634;GO:0031515	nucleus;tRNA (m1A) methyltransferase complex			GO:0030488	tRNA methylation	Q8IEF7
267	PF3D7_1316500	PF3D7_1316500.1	301	PF3D7_1316500	pre-mRNA-processing factor 40, putative	PRP40	None	PF00397;PF01846			GO:0005515	GO:0045292	protein binding	mRNA cis splicing, via spliceosome							A0A5K1K8A8
268	PF3D7_1317400	PF3D7_1317400.1	302	PF3D7_1317400	zinc finger protein, putative		None				GO:0046872		metal ion binding		GO:0034399;GO:0005634	nuclear periphery;nucleus					A0A5K1K928
269	PF3D7_1319300	PF3D7_1319300.1	127	PF3D7_1319300	tRNA (guanine(26)-N(2))-dimethyltransferase, putative	TRM1	None	PF02005			GO:0003723;GO:0004809;GO:0000049	GO:0008033	RNA binding;tRNA (guanine-N2-)-methyltransferase activity;tRNA binding	tRNA processing	GO:0005634	nucleus	tRNA (guanine-N2-)-methyltransferase activity	GO:0004809	GO:0002940;GO:0030488;GO:0006400	tRNA N2-guanine methylation;tRNA methylation;tRNA modification	Q8IEC3
270	PF3D7_1320800	PF3D7_1320800.1	128	PF3D7_1320800	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex		None	PF00198;PF00364	GO:0045252	oxoglutarate dehydrogenase complex	GO:0016746;GO:0004149	GO:0033512;GO:0006099	acyltransferase activity;dihydrolipoyllysine-residue succinyltransferase activity	L-lysine catabolic process to acetyl-CoA via saccharopine;tricarboxylic acid cycle	GO:0005739	mitochondrion	RNA binding;dihydrolipoyllysine-residue succinyltransferase activity	GO:0003723;GO:0004149	GO:0006103	2-oxoglutarate metabolic process	Q8IEA6
271	PF3D7_1322300	PF3D7_1322300.1	303	PF3D7_1322300	BRCT domain-containing protein, putative		None								GO:0005634	nucleus					A0A5K1K8R9
272	PF3D7_1323100	PF3D7_1323100.1	129	PF3D7_1323100	60S ribosomal protein L6, putative		None	PF00347	GO:0005840	ribosome	GO:0019843;GO:0003735	GO:0006412	rRNA binding;structural constituent of ribosome	translation	GO:0022625;GO:0015934;GO:0005634	cytosolic large ribosomal subunit;large ribosomal subunit;nucleus	RNA binding;structural constituent of ribosome	GO:0003723;GO:0003735	GO:0002181;GO:0006412	cytoplasmic translation;translation	Q8IE85
273	PF3D7_1324200	PF3D7_1324200.1	130	PF3D7_1324200	micro-fibrillar-associated protein, putative		None	PF06991							GO:0005684;GO:0031012	U2-type spliceosomal complex;extracellular matrix	extracellular matrix structural constituent	GO:0005201	GO:0000398	mRNA splicing, via spliceosome	Q8IE75
274	PF3D7_1325000	PF3D7_1325000.1	304	PF3D7_1325000	U6 snRNA-associated Sm-like protein LSm6, putative	LSM6	None	PF01423	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex		GO:0000398		mRNA splicing, via spliceosome	GO:0000932;GO:0046540;GO:0005688;GO:0005730;GO:0005634;GO:0005732;GO:0005681	P-body;U4/U6 x U5 tri-snRNP complex;U6 snRNP;nucleolus;nucleus;sno(s)RNA-containing ribonucleoprotein complex;spliceosomal complex	RNA binding	GO:0003723	GO:0000375;GO:0000398;GO:0030490	RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome;maturation of SSU-rRNA	Q8IE68
275	PF3D7_1325500	PF3D7_1325500.1	305	PF3D7_1325500	PUA domain-containing protein		None	PF17785			GO:0003723		RNA binding								A0A5K1K8U8
276	PF3D7_1336900	PF3D7_1336900.1	306	PF3D7_1336900	tryptophan--tRNA ligase	cTrpRS	None	PF00579			GO:0005524;GO:0004812;GO:0000166;GO:0004830	GO:0006418;GO:0006436	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity	tRNA aminoacylation for protein translation;tryptophanyl-tRNA aminoacylation	GO:0005737;GO:0005829	cytoplasm;cytosol	tryptophan-tRNA ligase activity	GO:0004830	GO:0006436	tryptophanyl-tRNA aminoacylation	Q8IDW3
277	PF3D7_1340300	PF3D7_1340300.1	131	PF3D7_1340300	nucleolar complex protein 2, putative		None	PF03715							GO:0030690;GO:0030691;GO:0036396;GO:0005730;GO:0005654	Noc1p-Noc2p complex;Noc2p-Noc3p complex;RNA N6-methyladenosine methyltransferase complex;nucleolus;nucleoplasm			GO:0042273	ribosomal large subunit biogenesis	Q8IDT3
278	PF3D7_1346300	PF3D7_1346300.1	132	PF3D7_1346300	DNA/RNA-binding protein Alba 2	ALBA2	None	PF01918			GO:0003676		nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	DNA binding;RNA binding;mRNA binding	GO:0003677;GO:0003723;GO:0003729			Q8IDN4
279	PF3D7_1347500	PF3D7_1347500.1	133	PF3D7_1347500	DNA/RNA-binding protein Alba 4	ALBA4	None				GO:0003676		nucleic acid binding		GO:0005737;GO:0005829;GO:0020020;GO:0005634	cytoplasm;cytosol;food vacuole;nucleus	DNA binding;RNA binding;mRNA binding;protein-containing complex binding	GO:0003677;GO:0003723;GO:0003729;GO:0044877	GO:0006417	regulation of translation	A0A5K1K8Y8
280	PF3D7_1353400	PF3D7_1353400.1	307	PF3D7_1353400	Ran-binding protein, putative		None				GO:0003723;GO:0046872;GO:0003676		RNA binding;metal ion binding;nucleic acid binding								Q8IDG6
281	PF3D7_1354600	PF3D7_1354600.1	308	PF3D7_1354600	60S ribosomal protein L7, putative		None								GO:0022625	cytosolic large ribosomal subunit	RNA binding;structural constituent of ribosome	GO:0003723;GO:0003735	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	C0H5I4
282	PF3D7_1359000	PF3D7_1359000.1	309	PF3D7_1359000	conserved Plasmodium protein, unknown function		None		GO:0016021;GO:0005634;GO:0030688	integral component of membrane;nucleus;preribosome, small subunit precursor		GO:0006364		rRNA processing							C0H5J0
283	PF3D7_1359400	PF3D7_1359400.1	310	PF3D7_1359400	CUGBP Elav-like family member 1	CELF1	None	PF00076;PF00397	GO:1990904	ribonucleoprotein complex	GO:0003723;GO:0003676;GO:0005515		RNA binding;nucleic acid binding;protein binding		GO:0005737;GO:0005634;GO:1990904	cytoplasm;nucleus;ribonucleoprotein complex	RNA binding;mRNA binding	GO:0003723;GO:0003729			Q8IDB7
284	PF3D7_1359600	PF3D7_1359600.1	134	PF3D7_1359600	conserved Plasmodium protein, unknown function		None								GO:0005634	nucleus					A0A5K1K8U0,Q25915
285	PF3D7_1360100	PF3D7_1360100.1	311	PF3D7_1360100	RNA-binding protein, putative	RRM1	None	PF00076			GO:0003676		nucleic acid binding		GO:0005634;GO:0097526	nucleus;spliceosomal tri-snRNP complex	mRNA binding	GO:0003729	GO:0048024	regulation of mRNA splicing, via spliceosome	Q8IDA4
286	PF3D7_1360700	PF3D7_1360700.1	312	PF3D7_1360700	E3 SUMO-protein ligase PIAS, putative	PIAS	None	PF02891			GO:0016746;GO:0016874;GO:0008270	GO:0016925	acyltransferase activity;ligase activity;zinc ion binding	protein sumoylation			SUMO transferase activity	GO:0019789	GO:0016925	protein sumoylation	A0A5K1K9G1
287	PF3D7_1360900	PF3D7_1360900.1	135	PF3D7_1360900	RNA-binding protein, putative		None	PF00076			GO:0003676		nucleic acid binding		GO:0005634;GO:1990904	nucleus;ribonucleoprotein complex	RNA binding	GO:0003723			C0H5J5
288	PF3D7_1364300	PF3D7_1364300.1	136	PF3D7_1364300	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	PRP16	None	PF00270;PF00271;PF04408;PF07717			GO:0005524;GO:0003724;GO:0004386;GO:0003676		ATP binding;RNA helicase activity;helicase activity;nucleic acid binding		GO:0005634	nucleus	RNA helicase activity	GO:0003724			A0A5K1K9B8
289	PF3D7_1366900	PF3D7_1366900.1	313	PF3D7_1366900	conserved protein, unknown function		None								GO:0005737;GO:0005634	cytoplasm;nucleus	mRNA binding	GO:0003729			Q8ID39
290	PF3D7_1367400	PF3D7_1367400.1	314	PF3D7_1367400	conserved Plasmodium protein, unknown function		None				GO:0003723		RNA binding		GO:0030686;GO:0005730;GO:0030688	90S preribosome;nucleolus;preribosome, small subunit precursor	RNA binding	GO:0003723	GO:0000480;GO:0000447;GO:0000472;GO:0000056	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage to generate mature 5'-end of	Q8ID34
291	PF3D7_1367600	PF3D7_1367600.1	315	PF3D7_1367600	ribosome biogenesis protein MRT4, putative		None	PF00466;PF17777				GO:0042254		ribosome biogenesis	GO:0005730;GO:0005634;GO:0030687	nucleolus;nucleus;preribosome, large subunit precursor			GO:0000956;GO:0006364;GO:0000027;GO:0042273	nuclear-transcribed mRNA catabolic process;rRNA processing;ribosomal large subunit assembly;ribosomal large subunit biogenesis	Q8ID32
292	PF3D7_1368400	PF3D7_1368400.1	316	PF3D7_1368400	ribosomal protein L1, putative		None	PF00687	GO:0005840	ribosome											Q8ID26
293	PF3D7_1369500	PF3D7_1369500.1	317	PF3D7_1369500	nuclear cap-binding protein subunit 1, putative		None		GO:0005846	nuclear cap binding complex	GO:0000339	GO:0045292;GO:0051028	RNA cap binding	mRNA cis splicing, via spliceosome;mRNA transport			mRNA cap binding	GO:0098808			A0A5K1K8X7
294	PF3D7_1369700	PF3D7_1369700.1	318	PF3D7_1369700	U2 small nuclear ribonucleoprotein A', putative	SNRPA1	None	PF14580			GO:0005515		protein binding		GO:0005681	spliceosomal complex			GO:0000398	mRNA splicing, via spliceosome	C0H5L8
295	PF3D7_1402400	PF3D7_1402400.1	137	PF3D7_1402400	zinc finger protein, putative		None		GO:0005634	nucleus	GO:0003676;GO:0008270	GO:0000398	nucleic acid binding;zinc ion binding	mRNA splicing, via spliceosome	GO:0071011	precatalytic spliceosome	RNA binding	GO:0003723	GO:0008380	RNA splicing	Q8IM65
296	PF3D7_1402500	PF3D7_1402500.1	319	PF3D7_1402500	ribosomal protein S27a, putative		None	PF00240;PF01599	GO:0005840	ribosome	GO:0046872;GO:0005515;GO:0003735	GO:0006412	metal ion binding;protein binding;structural constituent of ribosome	translation	GO:0005737;GO:0005634	cytoplasm;nucleus	protein tag;structural constituent of ribosome;ubiquitin protein ligase binding	GO:0031386;GO:0003735;GO:0031625	GO:0019941;GO:0016567	modification-dependent protein catabolic process;protein ubiquitination	Q8IM64
297	PF3D7_1402700	PF3D7_1402700.1	320	PF3D7_1402700	U2 snRNP-associated SURP motif-containing protein, putative	SR140	None	PF00076;PF01805;PF04818			GO:0003723;GO:0003676	GO:0006396	RNA binding;nucleic acid binding	RNA processing							A0A144A0W9
298	PF3D7_1404000	PF3D7_1404000.1	138	PF3D7_1404000	DNA-directed RNA polymerase II subunit RPB4, putative	RPB4	None	PF03874	GO:0030880;GO:0005634	RNA polymerase complex;nucleus	GO:0003899;GO:0000166	GO:0006352;GO:0044237	DNA-directed 5'-3' RNA polymerase activity;nucleotide binding	DNA-templated transcription, initiation;cellular metabolic process							Q8IM54
299	PF3D7_1404500	PF3D7_1404500.1	321	PF3D7_1404500	rRNA biogenesis protein RRP5, putative	RRP5	None				GO:0005515	GO:0006396	protein binding	RNA processing	GO:0005730;GO:0032040	nucleolus;small-subunit processome	RNA binding	GO:0003723			Q8IM49
300	PF3D7_1405800	PF3D7_1405800.1	322	PF3D7_1405800	ribosome biogenesis protein BOP1, putative	BOP1	None	PF08145	GO:0005654	nucleoplasm	GO:0005515	GO:0000466;GO:0006364;GO:0042254	protein binding	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);rRNA processing;ribosome biogenesis	GO:0070545;GO:0030687	PeBoW complex;preribosome, large subunit precursor	ribonucleoprotein complex binding	GO:0043021	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Q8IM36
